Row,DeepSeek,GPT,Gemini,Gemma,Llama,codeLlama,Mixtral,Qwen
Android_21048,0,0,1,0,1,0,0,1
Android_22345,0,0,1,1,0,0,0,0
Android_21527,0,0,1,1,1,0,0,0
Android_14746,0,0,1,1,1,0,0,1
Android_22313,0,1,1,0,0,0,0,0
Android_14395,1,1,1,1,1,0,0,0
Android_18698,1,1,1,0,0,0,0,0
Android_21505,0,0,1,1,1,0,0,0
Android_15404,1,0,1,1,0,0,0,1
Android_15367,1,0,1,0,0,0,0,1
Android_23554,0,0,1,1,0,0,0,1
Android_11817,1,1,1,1,1,0,0,1
Android_23810,1,1,1,1,0,0,0,1
Android_22071,0,0,1,1,0,0,0,0
Android_23670,0,0,1,1,0,0,0,0
Android_16931,0,0,1,1,0,0,0,1
Android_15977,1,1,1,1,0,0,0,1
Android_16302,1,0,1,1,0,0,0,0
Android_18726,1,1,1,0,0,0,0,0
Android_20238,0,0,1,1,1,0,0,0
Android_11512,1,1,1,1,1,0,0,1
Android_15690,1,1,1,1,0,0,0,1
Android_13772,0,0,1,1,0,0,0,0
Android_12770,0,0,1,0,1,0,0,0
Android_24098,1,1,1,1,0,0,0,1
Android_20854,0,1,1,0,0,0,0,1
Android_16937,1,1,1,1,1,0,0,1
Android_18362,1,1,1,1,1,0,0,0
Android_24210,1,1,1,1,0,0,0,1
Android_12211,1,0,1,1,0,0,0,0
Android_20170,0,1,1,1,0,0,0,1
Android_22675,1,1,1,1,0,0,0,1
Android_18597,0,1,1,1,1,0,0,0
Android_8657,1,0,1,1,1,0,0,1
Android_10873,1,1,1,1,0,0,0,0
Android_23611,1,0,1,1,0,0,0,0
Android_12479,1,1,1,1,1,0,0,0
Android_19496,0,0,1,1,0,0,0,1
Android_22348,0,0,1,1,0,0,0,0
Android_13540,1,1,1,1,0,0,0,1
Android_23091,1,1,1,1,0,0,0,1
Android_15742,0,0,1,1,0,0,0,0
Android_19277,0,0,1,1,0,0,0,0
Android_16299,1,0,1,1,0,0,0,1
Android_22639,1,1,1,1,0,0,0,0
Android_15975,0,0,1,1,1,0,0,1
Android_12353,1,1,1,1,0,0,0,1
Android_21414,1,1,1,1,1,0,0,1
Android_21660,0,0,1,1,1,0,0,0
Android_8697,1,1,1,1,0,0,0,1
Android_17542,0,0,1,0,0,0,0,1
Android_21685,0,0,1,0,0,0,0,0
Android_31451,1,1,1,0,0,0,0,0
Android_8313,1,1,1,1,0,0,0,1
Android_22491,0,0,1,1,1,0,0,0
Android_15079,0,1,1,1,0,0,0,1
Android_20956,0,0,1,1,0,0,0,0
Android_22039,1,1,1,1,0,0,0,1
Android_20848,1,1,1,1,1,0,0,0
Android_20563,1,0,1,1,0,0,0,0
Android_20861,1,1,1,1,1,0,0,0
Android_20881,0,0,1,1,0,0,0,0
Android_21607,1,1,1,0,0,0,0,1
Android_22764,1,1,1,0,0,0,0,0
Android_16730,1,1,1,0,1,0,0,1
Android_23746,1,1,1,1,0,0,0,1
Android_16850,0,1,1,1,1,0,0,1
Android_13604,0,0,1,1,0,0,0,0
Android_21991,0,0,1,1,0,0,0,0
Android_18879,1,0,1,1,0,0,0,0
Android_22228,1,1,1,1,0,0,0,1
Android_20855,1,1,1,1,1,0,0,1
Android_16709,1,0,1,1,0,0,0,0
Android_24261,0,1,1,0,0,0,0,0
Android_16556,1,1,1,1,1,0,0,1
Android_22386,1,1,1,1,0,0,0,1
Android_14532,0,0,1,1,0,0,0,0
Android_9449,1,1,1,1,0,0,0,0
Android_17210,1,1,1,1,0,0,0,1
Android_24271,0,0,1,1,1,0,0,0
Android_20473,1,1,1,0,0,0,0,0
Android_11834,1,1,1,1,0,0,0,1
Android_11810,1,1,1,1,0,0,0,1
Android_23528,1,0,1,1,0,0,0,0
Android_22721,1,1,1,1,1,0,0,0
Android_12712,0,0,1,1,0,0,0,0
Android_18577,1,1,1,0,0,0,0,0
Android_14311,1,1,1,1,1,0,0,1
Android_24069,1,1,1,1,1,0,0,0
Android_14728,1,1,1,1,0,0,0,1
Android_23372,1,1,1,1,0,0,0,0
Android_14807,1,1,1,0,1,0,0,0
Android_23519,1,1,1,1,0,0,0,1
Android_15519,0,0,1,1,0,0,0,0
Android_10979,1,1,1,1,0,0,0,1
Android_15095,0,1,1,1,0,0,0,1
Android_21985,0,0,1,1,0,0,0,0
Android_15840,1,1,1,1,1,0,0,1
Android_14110,1,0,1,1,0,0,0,0
Android_22624,1,1,1,1,0,0,0,0
Android_20302,1,1,1,1,0,0,0,0
Android_22018,0,1,1,0,0,0,0,0
Android_11375,1,0,1,1,0,0,0,0
Android_16457,0,1,1,0,1,0,0,0
Android_11062,1,1,1,1,0,0,0,1
Android_23086,0,1,1,1,1,0,0,1
Android_14538,1,0,1,1,0,0,0,0
Android_17480,0,0,1,1,0,0,0,0
Android_22743,0,0,1,1,1,0,0,0
Android_23845,1,1,1,1,0,0,0,0
Android_15509,0,0,1,1,0,0,0,0
Android_16193,0,0,1,1,0,0,0,0
Android_23042,1,1,1,1,1,0,0,0
Android_15581,1,1,1,1,0,0,0,0
Android_19379,0,1,1,1,0,0,0,0
Android_9737,1,1,1,1,1,0,0,1
Android_8662,0,0,1,1,0,0,0,1
Android_15685,0,0,1,0,0,0,0,0
Android_24299,1,1,1,1,1,0,0,0
Android_21103,1,1,1,1,1,0,0,1
Android_23156,1,1,1,1,0,0,0,1
Android_16938,1,1,1,1,1,0,0,1
Android_22766,1,1,1,1,0,0,0,1
Android_23797,1,1,1,1,0,0,0,1
Android_20620,0,1,1,1,0,0,0,1
Android_23512,1,1,1,0,0,0,0,0
Android_21089,0,0,1,1,0,0,0,0
Android_23680,1,0,1,0,1,0,0,1
Android_21793,1,1,1,1,0,0,0,1
Android_14121,1,1,1,1,0,0,0,1
Android_15584,0,0,1,1,0,0,0,0
Android_13025,0,1,1,0,0,0,0,0
Android_16107,0,1,1,0,1,0,0,1
Android_14432,1,1,1,0,1,0,0,1
Android_15504,0,1,1,1,0,0,0,1
Android_14393,1,1,1,1,0,0,0,1
Android_16806,1,1,1,1,0,0,0,1
Android_10852,1,1,1,1,0,0,0,1
Android_21658,1,0,1,1,0,0,0,0
Android_31015,1,1,1,1,0,0,0,0
Android_24175,0,0,1,0,0,0,0,0
Android_23126,0,1,1,1,0,0,0,0
Android_18903,0,1,1,1,0,0,0,1
Android_17050,1,0,1,1,0,0,0,1
Android_14087,1,1,1,1,1,0,0,0
Android_22859,1,1,1,1,1,0,0,1
Android_14837,1,0,1,0,0,0,0,0
Android_19306,0,1,1,1,0,0,0,0
Android_12200,0,0,1,1,0,0,0,1
Android_20716,1,0,1,1,0,0,0,1
Android_20965,0,0,1,1,0,0,0,1
Android_12730,0,0,1,1,0,0,0,1
Android_23268,1,1,1,1,0,0,0,1
Android_12563,0,0,1,1,0,0,0,1
Android_21898,0,1,1,1,1,0,0,0
Android_22788,1,1,1,1,1,0,0,1
Android_18975,1,1,1,1,0,0,0,1
Android_20204,0,0,1,0,0,0,0,0
Android_22392,1,0,1,1,0,0,0,1
Android_17509,1,1,1,1,0,0,0,0
Android_22457,1,1,1,1,0,0,0,0
Android_13386,1,1,1,1,1,0,0,1
Android_17272,0,0,1,1,1,0,0,0
Android_18911,1,1,1,1,1,0,0,1
Android_14431,1,1,1,1,1,0,0,0
Android_12918,0,0,1,1,0,0,0,1
Android_11498,1,1,1,1,1,0,0,1
Android_23643,1,1,1,1,0,0,0,1
Android_12178,0,0,1,1,0,0,0,0
Android_24325,1,0,1,1,0,0,0,0
Android_23267,0,0,1,1,0,0,0,0
Android_10797,1,1,1,1,1,0,0,1
Android_21925,1,1,1,1,1,0,0,1
Android_16616,0,1,1,1,1,0,0,0
Android_23045,1,1,1,0,1,0,0,0
Android_20583,1,0,1,1,0,0,0,0
Android_20172,1,1,1,1,0,0,0,1
Android_22202,1,1,1,1,0,0,0,0
Android_22206,1,1,1,1,0,0,0,1
Android_22857,1,1,1,1,0,0,0,1
Android_20622,1,1,1,1,1,0,0,1
Android_10505,1,1,1,1,1,0,0,1
Android_16910,1,0,1,1,1,0,0,1
Android_9071,1,1,1,1,1,0,0,1
Android_13924,1,1,1,1,0,0,0,0
Android_14276,1,1,1,1,1,0,0,1
Android_19234,1,1,1,1,1,0,0,1
Android_20260,0,0,1,0,0,0,0,0
Android_789,1,1,1,1,0,0,0,1
Android_22567,0,0,1,1,0,0,0,0
Android_12132,1,1,1,1,0,0,0,1
Android_17224,1,1,1,0,1,0,0,0
Android_17481,1,1,1,1,1,0,0,1
Android_14841,1,1,1,0,0,0,0,0
Android_15990,1,1,1,0,0,0,0,0
Android_18708,1,1,1,0,1,0,0,0
Android_20632,0,0,1,1,0,0,0,0
Android_20798,1,0,1,1,0,0,0,0
Android_10744,1,1,1,1,0,0,0,1
Android_20953,1,1,1,1,0,0,0,1
Android_14724,1,1,1,1,1,0,0,1
Android_19579,1,1,1,1,1,0,0,0
Android_19348,0,0,1,0,0,0,0,0
Android_20817,1,1,1,1,1,0,0,1
Android_21913,1,1,1,1,0,0,0,0
Android_20646,1,1,1,0,1,0,0,1
Android_23438,1,0,1,1,0,0,0,0
Android_20085,0,1,1,1,0,0,0,1
Android_1550,0,0,1,1,0,0,0,0
Android_12920,0,1,1,0,0,0,0,1
Android_17232,1,1,1,1,0,0,0,1
Android_14479,1,1,1,1,0,0,0,1
Android_21226,1,1,1,0,0,0,0,0
Android_20218,1,1,1,1,0,0,0,0
Android_18782,0,1,1,0,1,0,0,1
Android_18621,0,1,1,1,0,0,0,0
Android_12325,1,1,1,0,0,0,0,1
Android_18989,1,1,1,1,0,0,0,1
Android_13053,1,1,1,1,1,0,0,1
Android_18560,1,1,1,1,0,0,0,1
Android_20865,1,1,1,0,0,0,0,1
OpenStack_1249,1,1,1,0,0,0,0,0
OpenStack_1111,0,0,1,1,0,0,0,0
OpenStack_6046,0,1,1,1,1,0,0,1
OpenStack_655,0,0,1,0,0,0,0,0
OpenStack_5812,1,1,1,1,0,0,0,0
OpenStack_7869,0,1,1,0,1,0,0,1
OpenStack_1535,0,0,1,0,0,0,0,0
OpenStack_5528,1,1,1,1,1,0,0,0
OpenStack_508,1,1,1,0,1,0,0,0
OpenStack_943,0,0,1,1,1,0,0,0
OpenStack_6305,0,1,1,1,0,0,0,0
OpenStack_4695,1,1,1,0,1,0,0,1
OpenStack_7214,0,0,1,0,0,0,0,0
OpenStack_5899,0,0,1,1,0,0,0,0
OpenStack_2432,1,1,1,0,0,0,0,1
OpenStack_4072,1,1,1,0,0,0,0,0
OpenStack_222,1,1,1,0,0,0,0,1
OpenStack_4854,1,1,1,0,0,0,0,1
OpenStack_6333,1,1,1,0,1,0,0,0
OpenStack_5158,0,0,1,0,0,0,0,1
OpenStack_3951,1,1,1,0,1,0,0,1
OpenStack_2446,0,0,1,1,0,0,0,0
OpenStack_6709,1,1,1,0,0,0,0,0
OpenStack_899,0,0,1,1,1,0,0,0
OpenStack_3832,1,0,1,1,0,0,0,1
OpenStack_3795,1,1,1,0,0,0,0,1
OpenStack_6847,0,0,1,0,0,0,0,0
OpenStack_4093,1,1,1,0,1,0,0,0
OpenStack_5050,0,1,1,0,0,0,0,0
OpenStack_6736,1,0,1,0,0,0,0,1
OpenStack_4696,0,0,1,0,1,0,0,0
OpenStack_244,1,1,1,0,1,0,0,0
OpenStack_2089,1,0,1,0,0,0,0,0
OpenStack_1317,0,1,1,0,0,0,0,0
OpenStack_2069,1,1,1,1,1,0,0,1
OpenStack_2942,1,1,1,0,0,0,0,1
OpenStack_4119,1,1,1,1,0,0,0,0
OpenStack_5458,1,1,1,1,0,0,0,0
OpenStack_7567,1,1,1,1,1,0,0,1
OpenStack_5692,1,0,1,1,0,0,0,0
OpenStack_6967,1,1,1,1,1,0,0,0
OpenStack_4573,1,1,1,1,0,0,0,0
OpenStack_4948,0,1,1,0,0,0,0,1
OpenStack_6893,1,0,1,1,1,0,0,0
OpenStack_3971,1,1,1,0,1,0,0,0
OpenStack_2051,1,1,1,0,0,0,0,0
OpenStack_4298,0,0,1,0,0,0,0,0
OpenStack_4106,1,0,1,0,0,0,0,0
OpenStack_4374,0,1,1,1,1,0,0,1
OpenStack_5030,1,1,1,1,1,0,0,0
OpenStack_5193,1,1,1,1,1,0,0,1
OpenStack_3638,1,0,1,1,1,0,0,0
OpenStack_299,1,1,1,0,0,0,0,1
OpenStack_4982,1,1,1,0,1,0,0,1
OpenStack_6386,1,1,1,0,1,0,0,0
OpenStack_2922,0,1,1,0,1,0,0,1
OpenStack_1032,1,1,1,0,1,0,0,1
OpenStack_4946,1,1,1,1,1,0,0,0
OpenStack_6480,1,1,1,1,1,0,0,1
OpenStack_438,1,1,1,1,0,0,0,1
OpenStack_2292,1,1,1,1,0,0,0,1
OpenStack_1888,1,1,1,1,0,0,0,0
OpenStack_7415,1,1,1,1,1,0,0,0
OpenStack_5178,0,0,1,1,0,0,0,0
OpenStack_6261,1,1,1,1,1,0,0,0
OpenStack_47,0,1,1,0,0,0,0,0
OpenStack_2705,0,0,1,1,1,0,0,0
OpenStack_6411,0,0,1,1,0,0,0,0
OpenStack_7172,1,1,1,0,0,0,0,1
OpenStack_2150,0,1,1,1,0,0,0,0
OpenStack_3068,1,1,1,1,0,0,0,1
OpenStack_4955,0,0,1,0,1,0,0,1
OpenStack_7452,0,1,1,1,0,0,0,1
OpenStack_2569,1,1,1,0,0,0,0,0
OpenStack_1054,1,1,1,1,1,0,0,1
OpenStack_3320,1,1,1,0,1,0,0,0
OpenStack_3194,0,0,1,1,1,0,0,0
OpenStack_2938,1,1,1,0,1,0,0,1
OpenStack_288,0,1,1,0,1,0,0,1
OpenStack_6244,1,1,1,0,0,0,0,0
OpenStack_5882,0,1,1,1,1,0,0,0
OpenStack_4985,1,1,1,1,0,0,0,1
OpenStack_5082,0,0,1,1,0,0,0,1
OpenStack_5491,1,1,1,0,1,0,0,0
OpenStack_3429,1,1,1,1,0,0,0,1
OpenStack_6977,1,1,1,1,0,0,0,0
OpenStack_3352,1,1,1,0,0,0,0,0
OpenStack_1681,0,0,1,1,0,0,0,0
OpenStack_1655,0,1,1,0,1,0,0,1
OpenStack_4756,1,1,1,1,0,0,0,1
OpenStack_4903,1,1,1,0,0,0,0,1
OpenStack_4584,1,1,1,1,0,0,0,0
OpenStack_5113,1,1,1,0,1,0,0,0
OpenStack_7164,0,0,1,0,0,0,0,0
OpenStack_6990,0,1,1,0,0,0,0,1
OpenStack_418,1,1,1,1,1,0,0,1
OpenStack_7332,1,1,1,0,0,0,0,1
OpenStack_5988,1,1,1,1,1,0,0,1
OpenStack_6670,1,1,1,0,0,0,0,0
OpenStack_532,1,1,1,1,0,0,0,1
OpenStack_3200,1,1,1,0,1,0,0,1
OpenStack_6978,1,1,1,0,1,0,0,1
OpenStack_1597,1,1,1,0,1,0,0,0
OpenStack_4858,1,1,1,1,0,0,0,0
OpenStack_2185,1,1,1,0,1,0,0,0
OpenStack_708,1,1,1,0,0,0,0,0
OpenStack_5419,1,1,1,0,0,0,0,0
OpenStack_7414,0,0,1,0,1,0,0,0
OpenStack_6940,0,0,1,1,0,0,0,0
OpenStack_1356,1,1,1,1,1,0,0,1
OpenStack_5688,1,1,1,1,1,0,0,1
OpenStack_7342,1,1,1,0,0,0,0,0
OpenStack_2297,1,1,1,0,1,0,0,1
OpenStack_1449,1,1,1,0,1,0,0,1
OpenStack_6242,1,1,1,1,0,0,0,0
OpenStack_811,0,0,1,0,1,0,0,1
OpenStack_3597,0,0,1,0,0,0,0,0
OpenStack_3119,1,1,1,1,1,0,0,0
OpenStack_7360,0,0,1,0,0,0,0,0
OpenStack_5590,1,1,1,1,1,0,0,0
OpenStack_5769,1,1,1,0,0,0,0,0
OpenStack_867,1,1,1,1,0,0,0,1
OpenStack_2740,0,1,1,0,1,0,0,0
OpenStack_3297,1,1,1,0,1,0,0,0
OpenStack_2802,1,1,1,1,0,0,0,1
OpenStack_4234,0,0,1,1,1,0,0,0
OpenStack_3185,0,0,1,0,0,0,0,0
OpenStack_6329,1,1,1,1,0,0,0,0
OpenStack_443,0,0,1,1,0,0,0,1
OpenStack_289,1,1,1,1,1,0,0,1
OpenStack_2384,0,0,1,1,0,0,0,0
OpenStack_7005,0,1,1,1,1,0,0,0
OpenStack_4768,1,1,1,0,0,0,0,1
OpenStack_5869,1,1,1,0,1,0,0,1
OpenStack_2405,1,1,1,1,1,0,0,1
OpenStack_5862,1,1,1,0,1,0,0,0
OpenStack_4603,1,0,1,0,0,0,0,1
OpenStack_1569,1,1,1,0,0,0,0,1
OpenStack_3422,1,1,1,1,0,0,0,0
OpenStack_7451,1,1,1,0,1,0,0,1
OpenStack_1726,1,0,1,0,0,0,0,0
OpenStack_3926,1,1,1,0,0,0,0,1
OpenStack_2020,1,1,1,0,1,0,0,1
OpenStack_1386,0,0,1,1,1,0,0,0
OpenStack_3927,0,0,1,1,0,0,0,0
OpenStack_5808,1,1,1,1,1,0,0,1
OpenStack_6207,1,1,1,1,1,0,0,0
OpenStack_3361,1,1,1,1,0,0,0,1
OpenStack_423,1,1,1,1,1,0,0,0
OpenStack_5094,1,1,1,1,0,0,0,0
OpenStack_3880,1,1,1,1,0,0,0,1
OpenStack_3700,1,1,1,1,0,0,0,0
OpenStack_1149,1,1,1,0,0,0,0,0
OpenStack_2080,1,1,1,0,1,0,0,0
OpenStack_6767,1,1,1,0,1,0,0,1
OpenStack_1516,1,1,1,1,0,0,0,0
OpenStack_4709,1,1,1,1,0,0,0,1
OpenStack_683,1,1,1,0,1,0,0,1
OpenStack_1316,1,1,1,1,1,0,0,0
OpenStack_1420,1,1,1,1,1,0,0,0
OpenStack_7543,1,1,1,0,1,0,0,0
OpenStack_3315,1,1,1,0,1,0,0,0
OpenStack_424,1,1,1,0,0,0,0,1
OpenStack_4535,1,1,1,0,0,0,0,1
OpenStack_4355,0,0,1,1,1,0,0,0
OpenStack_5829,1,1,1,0,0,0,0,0
OpenStack_6845,1,1,1,0,0,0,0,0
OpenStack_1286,1,1,1,0,0,0,0,0
OpenStack_2066,0,0,1,0,0,0,0,0
OpenStack_3031,1,0,1,1,1,0,0,0
OpenStack_5811,0,1,1,0,0,0,0,1
OpenStack_692,1,1,1,0,0,0,0,0
OpenStack_2979,0,0,1,1,1,0,0,0
OpenStack_6982,1,1,1,1,0,0,0,1
OpenStack_3903,1,1,1,0,0,0,0,0
OpenStack_923,1,1,1,0,1,0,0,0
OpenStack_6685,1,1,1,1,0,0,0,0
OpenStack_3265,1,1,1,0,1,0,0,0
OpenStack_1218,1,1,1,1,0,0,0,0
OpenStack_1256,1,1,1,1,1,0,0,1
OpenStack_6942,0,0,1,0,0,0,0,0
OpenStack_1132,0,0,1,1,1,0,0,1
OpenStack_1628,0,0,1,0,0,0,0,0
OpenStack_7775,0,0,1,1,0,0,0,0
OpenStack_6987,1,1,1,0,0,0,0,0
OpenStack_6817,0,0,1,0,1,0,0,0
OpenStack_4639,1,1,1,1,0,0,0,1
OpenStack_2981,0,1,1,0,0,0,0,0
OpenStack_5818,0,0,1,0,0,0,0,0
OpenStack_7907,0,0,1,0,0,0,0,1
OpenStack_249,1,0,1,0,0,0,0,0
OpenStack_752,1,1,1,0,1,0,0,1
OpenStack_7175,1,1,1,0,1,0,0,0
OpenStack_3983,0,1,1,0,0,0,0,0
OpenStack_2152,0,0,1,0,0,0,0,0
OpenStack_1676,0,0,1,1,1,0,0,1
OpenStack_4783,0,0,1,0,0,0,0,0
OpenStack_5204,1,1,1,1,1,0,0,0
OpenStack_490,1,1,1,0,0,0,0,1
OpenStack_4385,1,1,1,0,1,0,0,0
OpenStack_948,1,0,1,0,0,0,0,0
OpenStack_469,0,0,1,1,0,0,0,0
OpenStack_6100,1,1,1,0,1,0,0,0
OpenStack_1907,0,1,1,0,0,0,0,0
OpenStack_3792,0,0,1,0,0,0,0,1
OpenStack_3660,1,1,1,1,0,0,0,1
OpenStack_4607,0,0,1,1,1,0,0,0
OpenStack_6196,1,1,1,1,1,0,0,0
OpenStack_4473,1,1,1,1,0,0,0,1
OpenStack_1110,1,0,1,1,1,0,0,1
